id,type,parent,children,job,state,value,cost,vc_ratio,created_ts,done_ts,dora_ref
UC-S002-2,use-case,CHK-2,,Queue data fetch + in-memory state layer: fetch 4 queues + policy → typed QueueState[] with starving/over-WIP status,done,MED,2,1.00,2026-06-09T01:21:00Z,2026-06-09T02:22:00Z,
UC-S002-3,use-case,CHK-2,,Pipeline map render: 4-box flow diagram with live counts (gated on §11.2 render-mechanism decision),done,HIGH,4,0.75,2026-06-09T01:21:00Z,2026-06-09T02:22:00Z,
UC-S002-4,use-case,CHK-2,,Buffer-state flags: starving / over-WIP indicators on queue boxes,done,HIGH,2,1.50,2026-06-09T01:21:00Z,2026-06-09T02:22:00Z,
UC-S002-5,use-case,CHK-2,,ToC constraint highlight: parse baseline.md + mark matching queue box,done,HIGH,2,1.50,2026-06-09T01:21:00Z,2026-06-09T02:22:00Z,
UC-S002-6,use-case,CHK-2,,SSE live refresh: EventSource → re-fetch → re-render (serial last; depends UC1-UC5),done,HIGH,3,1.00,2026-06-09T01:21:00Z,2026-06-09T02:22:00Z,
UC-S004-1,use-case,CHK-2,,Ledger-aggregation endpoint — GET /api/projects/:id/stage-flow; tolerant CSV parser; FOUNDATIONAL,done,HIGH,3,2.00,2026-06-09T17:00:00Z,2026-06-10T11:00:00Z,
UC-S004-2,use-case,CHK-2,,Value-stream map render — all stages + gates + rework loop SVG/component,done,HIGH,3,1.50,2026-06-09T17:00:00Z,2026-06-10T11:00:00Z,
UC-S004-3,use-case,CHK-2,,Per-stage metric display — throughput / dwell / WIP / rework labels on each stage node,done,HIGH,2,1.50,2026-06-09T17:00:00Z,2026-06-10T11:00:00Z,
UC-S004-4,use-case,CHK-2,,In-flight WIP indication — wip>0 visual distinction + item chips,done,HIGH,2,1.50,2026-06-09T17:00:00Z,2026-06-10T11:00:00Z,
UC-S004-5,use-case,CHK-2,,Metric traceability — hover → source ledger rows tooltip/panel,done,HIGH,2,1.50,2026-06-09T17:00:00Z,2026-06-10T11:00:00Z,
UC-S004-6,use-case,CHK-2,,Live refresh via SSE — ledger.csv append → re-fetch → re-render value-stream map,done,HIGH,2,1.50,2026-06-09T17:00:00Z,2026-06-10T11:00:00Z,
CHK-3,chunk,REQ-OBSERVATORY,,Display the four DORA metrics per-agent task times and time-thief ranking so the operator can act on the constraint — DROPPED: scope absorbed into CHK-2 restated done-condition (s004 delivered),dropped,HIGH,S,HIGH/S,2026-06-09T00:10:00Z,2026-06-10T11:00:00Z,
CHK-4,chunk,REQ-OBSERVATORY,UC-S005-1|UC-S005-2|UC-S005-3|UC-S005-4|UC-S005-5|UC-S005-6,Navigate REQ→CHK→SLC→UC click in for full slice-artifact detail and zoom back out so operators can move between whole and part fluidly,done,HIGH,M,HIGH/M,2026-06-09T00:10:00Z,2026-06-10T19:00:00Z,
UC-S005-1,use-case,CHK-4,,Ledger-by-item-id endpoint — GET /api/projects/:id/ledger?item_id=<id>; tolerant parser reuse; FOUNDATIONAL,done,HIGH,1.5,2.00,2026-06-10T11:00:00Z,2026-06-10T14:00:00Z,
UC-S005-2,use-case,CHK-4,,Work-item tree render — REQ→CHK→SLC→UC collapsible tree; state/value/cost/space-tag badges,done,HIGH,3,1.00,2026-06-10T11:00:00Z,2026-06-10T14:00:00Z,
UC-S005-3,use-case,CHK-4,,Detail pane shell + artifact render — slice.md→HTML; .mmd→SVG; graceful absent placeholder; breadcrumb,done,HIGH,2.5,1.20,2026-06-10T11:00:00Z,2026-06-10T14:00:00Z,
UC-S005-4,use-case,CHK-4,,Markdown + Mermaid rendering — MarkdownRenderer + MmdRenderer components in DetailPane,done,MED,2,1.00,2026-06-10T11:00:00Z,2026-06-10T18:30:00Z,
UC-S005-5,use-case,CHK-4,,Item history panel — ledger rows by item_id newest-first; real-data done-condition,done,HIGH,2,1.50,2026-06-10T11:00:00Z,2026-06-10T18:30:00Z,
UC-S005-6,use-case,CHK-4,,Zoom breadcrumb + SSE refresh — back-to-map nav + tree/history re-fetch on change,done,MED,1.5,1.33,2026-06-10T11:00:00Z,2026-06-10T19:00:00Z,
CHK-5,chunk,REQ-OBSERVATORY,SLC-S014,Compose a structured preview-first prompt for any steer action and hand it to Claude so all writes go through the human-accept gate and never through the UI,done,HIGH,M,HIGH/M,2026-06-09T00:10:00Z,2026-06-12T15:33:59Z,
SLC-S014,slice,CHK-5,UC-S014-1|UC-S014-2|UC-S014-3|UC-S014-4,Steer prompt handoff — steer-action menu + panel + prompt builder + clipboard/SSE (s014),done,HIGH,M,HIGH/M,2026-06-10T15:37:04Z,2026-06-12T15:33:59Z,
UC-S014-1,use-case,SLC-S014,,Steer-action menu on WIP chips + work-item tree rows (4 action types),done,HIGH,2.0,2.00,2026-06-10T15:37:04Z,2026-06-10T16:27:57Z,
UC-S014-2,use-case,SLC-S014,,Steer panel: item context block + intent note textarea + Generate button,done,HIGH,2.5,1.60,2026-06-10T15:37:04Z,2026-06-11T10:25:14Z,
UC-S014-3,use-case,SLC-S014,,Prompt builder: pure fn renders filled-in slash-command prompt from template + item context + intent note,done,HIGH,3.0,1.33,2026-06-10T15:37:04Z,2026-06-11T10:47:19Z,
UC-S014-4,use-case,SLC-S014,,Copy to clipboard (toast confirm) + SSE context refresh while panel open,done,MED,2.5,0.80,2026-06-10T15:37:04Z,2026-06-12T15:33:59Z,
CHK-6,chunk,REQ-OBSERVATORY,SLC-S015,Navigate WIP and propose re-slice/split/merge/reprioritise/defect actions each routed through CHK-5 with before/after preview so steering never bypasses the agents,active,MED-HIGH,M,MED-HIGH/M,2026-06-09T00:10:00Z,,
SLC-S015,slice,CHK-6,UC-S015-1|UC-S015-2|UC-S015-3|UC-S015-4,WIP navigation + re-slice/split before/after preview — longest-in-stage panel + steer routing + preview + enriched prompt (s015),active,HIGH,M,HIGH/M,2026-06-10T16:14:30Z,,
UC-S015-1,use-case,SLC-S015,,WIP navigation panel — list in-flight items sorted by longest-time-in-stage first; FOUNDATIONAL for CHK-6,in-flight,HIGH,3.0,1.00,2026-06-10T16:14:30Z,,
UC-S015-2,use-case,SLC-S015,,Steer action routing from WIP rows — SteerMenu reuse + dispatch re-slice to preview,in-flight,HIGH,1.5,2.00,2026-06-10T16:14:30Z,,
UC-S015-3,use-case,SLC-S015,,Re-slice/split before/after preview panel — ReslicePreviewPanel; two-column before/after form,done,HIGH,3.0,1.00,2026-06-10T16:14:30Z,2026-06-12T15:33:55Z,
UC-S015-4,use-case,SLC-S015,,Enriched re-slice/split prompt — promptBuilder.js extension; Part A + Part B tokens (SEAM HOLD: promptBuilder.js + re-slice.txt shared with UC-S014-3 — must wait for UC-S014-3 merge),in-flight,MED-HIGH,2.0,1.25,2026-06-10T16:14:30Z,,
DEF-011,defect,CHK-2,,WIP 30-min recency horizon hides genuinely-running long tasks — fix recency horizon logic on s004/s012 WIP surface,done,HIGH,1.0,3.00,2026-06-10T16:14:30Z,2026-06-10T16:27:57Z,DEFECT-011
DEF-012,defect,CHK-2,,Decomposed work invisible between product task_end and flow-manager triage — staging buffer missing from board and flow model,done,HIGH,2.0,1.50,2026-06-10T16:59:00Z,2026-06-11T07:35:13Z,DEFECT-012
DEF-013,defect,CHK-2,,in-flight work invisible: pulled items stay planned until next sweep; tester ledger row keyed by slice slug not item_id — aggregator coherence fix,in-flight,HIGH,2.0,1.50,2026-06-12T15:30:02Z,,DEFECT-013
D7-AC-7,defect,CHK-2,,ledger-aggregator.test.js D7-AC-7 asserts absolute active_days against live ledger — broke on 4th calendar day; convert to fixture ledger,planned,MED,1.0,2.00,2026-06-12T15:36:38Z,,
CHK-7,chunk,REQ-OBSERVATORY,SLC-S018,Guide a work author through JTBD + cost-of-delay capture show the item's queue rank before submitting and hand off via the CHK-5 intake prompt so work enters responsibly,active,MED,L,MED/L,2026-06-09T00:10:00Z,,
SLC-S018,slice,CHK-7,UC-S018-1|UC-S018-2|UC-S018-3|UC-S018-4,Guided CoD intake — JTBD wizard + CoD scorer + queue-rank preview + intake prompt handoff (s018),active,MED,L,MED/L,2026-06-11T07:11:24Z,,
UC-S018-1,use-case,SLC-S018,,Intake wizard shell + JTBD capture — IntakeWizard.jsx; 3-field panel + live job-sentence preview,ready,MED,2,1.50,2026-06-11T07:11:24Z,,
UC-S018-2,use-case,SLC-S018,,CoD signals step + value-token scorer — CodStep.jsx; codScorer.js pure fn; deterministic HIGH/MED/LOW rule; dep UC-S018-1,planned,MED,2,1.00,2026-06-11T07:11:24Z,,
UC-S018-3,use-case,SLC-S018,,Queue-rank preview — useQueueRank.js; directional count from live /api/projects/:id/items; deps UC-S018-1|UC-S018-2 + items endpoint done,planned,MED,2,1.50,2026-06-11T07:11:24Z,,
UC-S018-4,use-case,SLC-S018,,Intake prompt builder + clipboard handoff — intakePromptBuilder.js pure fn; intake-prompt.txt; SteerPanel clipboard-copy+toast reuse; deps UC-S018-1|UC-S018-2|UC-S018-3 + UC-S014-4 cross-slice hard dep,planned,HIGH,2,2.00,2026-06-11T07:11:24Z,,
CHK-8,chunk,REQ-OBSERVATORY,SLC-S013,See all defects with status/severity/MTTR at a glance and drill into any one — defects view JTBD,active,HIGH,M,HIGH/M,2026-06-10T15:37:04Z,,
SLC-S013,slice,CHK-8,UC-S013-1|UC-S013-2|UC-S013-3|UC-S013-4,Defects view — defects read endpoint + list panel + drill-down + SSE refresh (s013),active,HIGH,M,HIGH/M,2026-06-10T15:14:45Z,,
UC-S013-1,use-case,SLC-S013,,Defects read endpoint — GET /api/projects/:id/defects; parse DEFECT-*.md + join ledger MTTR; FOUNDATIONAL,done,HIGH,2.0,2.00,2026-06-10T15:14:45Z,2026-06-11T07:43:41Z,
UC-S013-2,use-case,SLC-S013,,Defects list panel — status + severity + MTTR per row; CONFIRMED first; non-colour-redundant,in-flight,HIGH,2.5,1.60,2026-06-10T15:14:45Z,,
UC-S013-3,use-case,SLC-S013,,Defect drill-down + MTTR card — DetailPane reuse; MttrCard; MarkdownRenderer,in-flight,HIGH,2.0,2.00,2026-06-10T15:14:45Z,,
UC-S013-4,use-case,SLC-S013,,SSE live refresh — useDefects.js wired to subscribeEvents,planned,MED,1.5,1.33,2026-06-10T15:14:45Z,,
DEF-013,defect,CHK-2,,In-flight work item-invisible: pulled items stay planned until next sweep — atomic pull + registry-coherence warning,in-flight,HIGH,2.0,1.50,2026-06-12T15:30:02Z,,DEFECT-013
